question,answer
パスワードを忘れた時は？,情報システム部に再発行申請してください。
勤怠入力の締め切りは？,毎月25日が締め切りです。
在宅勤務の申請方法は？,ワークフローシステムから申請してください。
勤怠修正の手順は？,管理者へ申請してください。
遅刻の申請方法は？,当日9時までにメールで申請してください。
在宅勤務の勤務時間は？,9時から18時までです。
訪問看護とは何ですか？,訪問看護とは、看護師または理学療法士等が、療養を必要とする方のご自宅や施設（ナーシングホーム含む）へ訪問し、療養者及び家族がどの様な生活をしたいのか、その実現と維持のためのサポートを行うサービスです。
介護保険での訪問看護はどのような条件で利用できますか？,介護保険での訪問看護は、65歳以上で介護保険の認定を持っている方、または65歳未満でも40歳以上で条件を満たしていれば利用できます。認定期間は半年～2年で、途中で病状やADL等に変化があった場合、区分変更申し立てが可能です。
訪問看護のサービス単価はどの程度ですか？,訪問看護のサービス単価は、訪問時間により異なります。例えば、20分未満の訪問であれば312単位、20分以上30分未満で あれば469単位、30分以上60分未満であれば819単位となります。1単位は10.21円です。
訪問看護の単位はどのように決まるのですか？,訪問看護のサービス単価は、訪問時間により異なります。例えば、20分未満の訪問であれば312単位、20分以上30分未満で あれば469単位、30分以上60分未満であれば819単位となります。1単位は10.21円です。
訪問看護の単位はどのように決まるのですか？,訪問看護の単位は訪問時間によって異なります。例えば、訪問看護Ⅰ‐1は20分未満で312単位、訪問看護Ⅰ‐2は20分以上30分未満で469単位となります。また、訪問看護Ⅰ‐5とは理学療法士などによる訪問で、20分未満で297単位、20分の訪問を1日に2 回を超えて実施する場合は267単位となります。
定期巡回随時対応介護看護とは何ですか？,定期巡回随時対応介護看護は、訪問介護員・看護師が定期的に利用者の居宅を巡回し、日常生活の介助、療養上の世話、診療の補助を行うサービスです。また、利用者からの通報を受け、随時必要とされる対応を行います。
定期巡回随時対応介護看護の対象者は誰ですか？,定期巡回随時対応介護看護の対象者は、要介護1～5の認定を受けている方、また事業所が届け出ている市町村に居住している方です。
訪問看護の利用対象者は誰ですか？,医師が訪問看護が必要と判断し訪問看護指示書を発行した場合、対象者は新生児から終末期まで利用できます。
介護保険の認定がない場合、ケアマネージャーは必要ですか？,介護保険の認定がない場合はケアマネージャーがいません。
介護保険の認定者がいる場合、どの保険が優先されますか？,介護保険の認定者がいる場合、介護保険が優先となります。
緊急時訪問看護加算を付けていない利用者への緊急時の訪問は可能ですか？,はい、可能です。訪問に対する算定も可能です。
退院日に訪問し算定することは可能ですか？,基本的にはできません。ただし、特別訪問看護指示書での訪問・別表7・別表8の利用者に対しては訪問が可能です
看護師の訪問はなく、理学療法士等のみの訪問は可能ですか？,はい、可能です。ただし、緊急時訪問看護加算・特別管理加算は算定出来ません。
 特別管理加算 Ⅰ・Ⅱのいずれにも該当する状態であれば、両方算定可能ですか？,いいえ、不可能です。いずれかに限ります（高い方で算定します）。
 通常の訪問は希望されないが、緊急時のみの訪問を希望された。緊急時のみの訪問看護計画は可能ですか？, いいえ、不可能です。定期的な訪問があることが加算算定の条件です。
利用者が当ステーションに事業所変更した場合、当ステーションでの初回加算の算定は可能か？,可能です。新たに訪問看護計画書を作成したことに対して算定が出来ます。入院などで長期の利用がなく3か月空けば新た に同事業所でも算定が可能です。
理学療法士等のみの利用者が特別管理加算の対象者であった場合、算定が可能か？また、緊急時訪問看護加算の算定も可能か？,算定は不可能です。看護師による定期的な訪問で状態把握をしている事が算定要件であるためです。
退院時共同指導加算の算定は何回まで可能？また、複数ステーションで共同指導を行った場合はすべてのステーションが算定できるのか？また、だれが参加しても算定できるのか？, 別表7の疾患は2回まで算定が可能です。算定は1回につき1ステーションのみに限ります。また、准看護師は算定が不可能です。
 医療保険で計画外緊急訪問した場合、緊急時訪問看護加算210点が算定できる要件は何ですか？,その訪問が医師の指示による訪問であることが要件です。医師が指示を出し、その旨が診療記録に記載されていなければ算定が出来ません。
ターミナルケア療養費2500点（医）ターミナルケア加算2000単位（介）の算定要件は何ですか？,死亡日及び死亡日前14日以内の計15日間に、計画的な終末期に対する訪問（疾患・状態に縛りなし）を2回以上（別表7は1 回以上）行っていることが要件です。
ナーシングホームとは何ですか？施設ではないのですか？,ナーシングホームは住宅型有料老人ホームで、民間事業が運営しています。個人の住宅であり、外部の介護サービスを利用することができます。特定施設入居者生活介護の指定を受けていないため、施設の介護スタッフが介護を行うことは原則ありませ ん。
 訪問看護ステーションはどのような加算がありますか？,訪問看護ステーションでは、特別管理加算があり、これは250単位(点)または500単位(点)となります。
訪問診療の際にバイタルサインの測定を求められた場合、どう対応すればよいですか？,訪問診療費には診察・採血などの検査はもちろん、バイタルサインの測定も含まれます。そのため、要求された場合は測定を行い、結果をFAXなどで送信します。
麻薬の保管について教えてください。,塩酸モルヒネアンプルは鍵のかかる金庫に保管しますが、経口オピオイドはご利用者様の手の届くところに置いても問題ありません。未使用のオピオイドは処方された薬局へ返却します。ただし、返金はありません。
 点滴や腹膜透析、血液が付着した汚染物はどのように破棄すればよいですか？,点滴注射の針は貫通しない容器に入れて払い出し先の医療機関に返却します。輸液のボトル、腹膜透析、血糖インスリンの針やセンサーは新聞紙に包んで家庭ごみに破棄しても問題ありません。血液が付着したドレッシング材もしっかり保護して破棄し ます。
訪問看護指示書が届かない場合、どのように対応すればよいですか？, 医師の指示書に沿って訪問看護の提供を行います。指示書が発行されていない場合、訪問看護の提供に入ることはできません。口頭で指示をいただき、その内容を支援経過記録に記録します。
訪問時に他の入居者から緊急訪問の依頼があった場合、訪問してもよいですか？,原則として、訪問時間はその方のための提供時間ですので、他の入居者からの緊急訪問の依頼には提供のない看護師が対応します。
痰吸引研修の認定はどのように取得できますか？,：５０時間の講義を受講した後、１号研修（痰吸引と経管栄養）と２号研修（１号研修の一部の特定行為）を終了し、認定 を受けたものに限ります。
訪問看護加算の看護補助者の条件は何ですか？,看護師の指導の下に看護業務の補助を行う者で、訪問看護ステーション事業所に所属し、管理者の元で定期的に研修を受 けていることが条件です。事務員でも条件を満たしていれば可能です。
訪問看護時のバイタルサインの測定は必須ですか？,医療保険・介護保険での訪問では、定期訪問・緊急訪問に限らず必須です。ただし、定期巡回の随時訪問では状況に合わ せて省くこともあります。
死亡診断書と死体検案書の違いは何ですか？,死亡診断書は医師が最終診察から24時間以内に死亡した場合や、死因が明らかである場合に作成します。一方、死体検案書は医師の最終診察から24時間以上経過しており、死因や死亡時刻が不明、または異状死の場合に作成します。
障害の給付で医療用具を安く購入するにはどうすればいいですか？,まず、身体障害者手帳を所有していることが条件です。身体障害者手帳と見積書を持って行政管轄窓口に申請に行きます。手帳に記載されている診断名とは異なる疾患に該当するものを購入希望であれば、指定医師に日常生活用具給付意見書を書いても らい、それを持って申請します。
 医療保険証の数字の頭2桁は何を示していますか？," 数字の頭2桁は保険証の種別を示しています。例えば、""12""は生活保護、""19""は原爆認定疾病医療、""21""は自立支援医療証 、""39""は後期高齢者医療被保険者証を示します。"
医療保険証の種別をどのように判断すればよいですか？,医療保険証の種別は、保険証の数字の頭２桁で判断できます。例えば、「12」は生活保護、「19」は原爆認定疾病医療、「21」は自立支援医療証などとなります。
後期高齢者医療被保険者証の負担割合はどのように決まりますか？, 後期高齢者医療被保険者証の負担割合は「1割負担」、「後期高齢者医療限度額適用 標準負担額減額認定証に該当する場合」、「3割負担 後期高齢者医療限度額適用認定証に沿って上限負担額が決定」の3つから決定されます。
 重度障害医療証の利用時の負担はどのようになりますか？,重度障害医療証の利用時、病院と薬局は無料ですが、訪問看護は1割負担となります。また、8000円を超える場合は償還払 いとなります。
